Datum Zeit; BEN; NO; NO2; O3; PM2.5; PM10; SO2
; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³
06-10-16 07:00; 0,0; 19; 13; 21; 0,00; 1; 0,0
06-10-16 07:30; ; ; ; ; ; ; 0,0
06-10-16 08:00; 0,0; 15; 11; 23; 0,00; 2; 0,0
06-10-16 08:30; ; ; ; ; ; ; 0,0
06-10-16 09:00; 0,0; 14; 10; 21; 0,00; 2; 0,0
06-10-16 09:30; ; ; ; ; ; ; 0,0
06-10-16 10:00; 0,0; 9; 8; 20; 0,00; 1; 0,0
06-10-16 10:30; ; ; ; ; ; ; 0,0
06-10-16 11:00; 0,0; 10; 9; 27; 0,00; 3; 0,0
06-10-16 11:30; ; ; ; ; ; ; 0,0
06-10-16 12:00; 0,0; 20; 10; 24; 0,00; 3; 0,0
06-10-16 12:30; ; ; ; ; ; ; 0,0
06-10-16 13:00; 0,0; 17; 10; 23; 0,00; 3; 0,0
06-10-16 13:30; ; ; ; ; ; ; 0,0
06-10-16 14:00; 0,0; 22; 13; 21; 0,00; 4; 0,0
06-10-16 14:30; ; ; ; ; ; ; 0,0
06-10-16 15:00; 0,0; 41; 18; 12; 0,00; 4; 0,0
06-10-16 15:30; ; ; ; ; ; ; 0,0
06-10-16 16:00; 0,0; 22; 14; 17; 0,00; 7; 0,0
06-10-16 16:30; ; ; ; ; ; ; 0,0
06-10-16 17:00; 0,0; 25; 15; 19; 0,00; 6; 0,0
06-10-16 17:30; ; ; ; ; ; ; 0,0
06-10-16 18:00; 0,0; 3; 8; 16; 0,00; 6; 0,0
06-10-16 18:30; ; ; ; ; ; ; 0,0
06-10-16 19:00; 0,0; 7; 10; 25; 0,00; 10; 0,0
06-10-16 19:30; ; ; ; ; ; ; 0,0
06-10-16 20:00; 0,0; 1; 12; 21; 0,00; 6; 0,0
06-10-16 20:30; ; ; ; ; ; ; 0,0
06-10-16 21:00; 0,0; 2; 11; 22; 0,00; 4; 0,0
06-10-16 21:30; ; ; ; ; ; ; 0,0
06-10-16 22:00; 0,0; 4; 11; 17; 0,00; 3; 0,0
06-10-16 22:30; ; ; ; ; ; ; 0,0
06-10-16 23:00; 0,0; 1; 10; 17; 0,00; 4; 0,0
06-10-16 23:30; ; ; ; ; ; ; 0,0
07-10-16 00:00; 0,0; 3; 8; 14; 0,00; 3; 0,0
07-10-16 00:30; ; ; ; ; ; ; 0,0
07-10-16 01:00; 0,0; 2; 7; 15; 0,00; 2; 0,0
07-10-16 01:30; ; ; ; ; ; ; 0,0
07-10-16 02:00; 0,0; 2; 7; 14; 0,00; 1; 0,0
07-10-16 02:30; ; ; ; ; ; ; 0,0
07-10-16 03:00; 0,0; 1; 9; 16; 0,00; 3; 0,0
07-10-16 03:30; ; ; ; ; ; ; 0,0
07-10-16 04:00; 0,0; 1; 11; 13; 0,00; 3; 0,0
07-10-16 04:30; ; ; ; ; ; ; 0,0
07-10-16 05:00; 0,0; 1; 12; 11; 0,00; 5; 0,0
07-10-16 05:30; ; ; ; ; ; ; 0,0
07-10-16 06:00; 0,0; 1; 14; 6; 0,00; 2; 0,0
07-10-16 06:30; ; ; ; ; ; ; 0,0
07-10-16 07:00; 0,0; 3; 18; 5; 0,00; 3; 0,0
07-10-16 07:30; ; ; ; ; ; ; 0,0
07-10-16 08:00; 0,0; 5; 15; 6; 0,00; 5; 0,0
07-10-16 08:30; ; ; ; ; ; ; 0,0
07-10-16 09:00; 0,0; 6; 14; 6; 0,00; 5; 0,0
07-10-16 09:30; ; ; ; ; ; ; 0,0
07-10-16 10:00; 0,0; 5; 10; 7; 0,00; 9; 0,0
07-10-16 10:30; ; ; ; ; ; ; 0,0
07-10-16 11:00; 0,0; 13; 12; 9; 0,00; 9; 0,0
07-10-16 11:30; ; ; ; ; ; ; 0,0
07-10-16 12:00; 0,0; 8; 11; 11; 0,00; 8; 0,0
07-10-16 12:30; ; ; ; ; ; ; 0,0
07-10-16 13:00; 0,0; 4; 10; 18; 0,00; 4; 0,0
07-10-16 13:30; ; ; ; ; ; ; 0,0
07-10-16 14:00; 0,0; 36; 20; 26; 0,00; 4; 0,0
07-10-16 14:30; ; ; ; ; ; ; 0,0
07-10-16 15:00; 0,0; 35; 21; 29; 0,00; 6; 0,0
07-10-16 15:30; ; ; ; ; ; ; 0,0
07-10-16 16:00; 0,0; 28; 22; 29; 0,00; 5; 0,0
07-10-16 16:30; ; ; ; ; ; ; 0,0
07-10-16 17:00; 0,0; 14; 20; 16; 0,00; 6; 0,0
07-10-16 17:30; ; ; ; ; ; ; 0,0
07-10-16 18:00; 0,0; 73; 45; 6; 0,00; 7; 0,0
07-10-16 18:30; ; ; ; ; ; ; 0,0
07-10-16 19:00; 0,0; 46; 35; 5; 0,00; 8; 0,0
07-10-16 19:30; ; ; ; ; ; ; 0,0
07-10-16 20:00; 0,0; 37; 29; 5; 0,00; 12; 0,0
07-10-16 20:30; ; ; ; ; ; ; 0,0
07-10-16 21:00; 0,0; 16; 21; 5; 0,00; 14; 0,0
07-10-16 21:30; ; ; ; ; ; ; 0,0
07-10-16 22:00; 0,0; 22; 19; 5; 0,00; 14; 0,0
07-10-16 22:30; ; ; ; ; ; ; 0,0
07-10-16 23:00; 0,0; 6; 14; 6; 0,00; 11; 0,0
07-10-16 23:30; ; ; ; ; ; ; 0,0
08-10-16 00:00; 0,0; 10; 13; 12; 0,00; 8; 0,0
08-10-16 00:30; ; ; ; ; ; ; 0,0
08-10-16 01:00; 0,0; 8; 9; 19; 0,00; 6; 0,0
08-10-16 01:30; ; ; ; ; ; ; 0,0
08-10-16 02:00; 0,0; 5; 8; 25; 0,00; 5; 0,0
08-10-16 02:30; ; ; ; ; ; ; 0,0
08-10-16 03:00; 0,0; 5; 8; 28; 0,00; 5; 0,0
08-10-16 03:30; ; ; ; ; ; ; 0,0
08-10-16 04:00; 0,0; 3; 7; 25; 0,00; 7; 0,0
08-10-16 04:30; ; ; ; ; ; ; 0,0
08-10-16 05:00; 0,0; 9; 11; 24; 0,00; 9; 0,0
08-10-16 05:30; ; ; ; ; ; ; 0,0
08-10-16 06:00; 0,0; 17; 14; 24; 0,00; 10; 0,0
08-10-16 06:30; ; ; ; ; ; ; 0,0
08-10-16 07:00; 0,0; 35; 19; 26; 0,00; 9; 0,0
08-10-16 07:30; ; ; ; ; ; ; 0,0
08-10-16 08:00; 0,0; 33; 18; 28; 0,00; 10; 0,0
08-10-16 08:30; ; ; ; ; ; ; 0,0
08-10-16 09:00; 0,0; 32; 20; 32; 0,00; 7; 0,0
08-10-16 09:30; ; ; ; ; ; ; 0,0
08-10-16 10:00; 0,0; 46; 23; 33; 0,00; 8; 0,0
08-10-16 10:30; ; ; ; ; ; ; 0,0
08-10-16 11:00; 0,0; 46; 21; 26; 0,00; 7; 0,0
08-10-16 11:30; ; ; ; ; ; ; 0,0
08-10-16 12:00; 0,0; 34; 20; 23; 0,00; 6; 0,0
08-10-16 12:30; ; ; ; ; ; ; 0,0
08-10-16 13:00; 0,0; 30; 18; 23; 0,00; 6; 0,0
08-10-16 13:30; ; ; ; ; ; ; 0,0
08-10-16 14:00; 0,0; 27; 18; 25; 0,00; 5; 0,0
08-10-16 14:30; ; ; ; ; ; ; 0,0
08-10-16 15:00; 0,0; 28; 17; 27; 0,00; 5; 0,0
08-10-16 15:30; ; ; ; ; ; ; 0,0
08-10-16 16:00; 0,0; 24; 19; 26; 0,00; 6; 0,0
08-10-16 16:30; ; ; ; ; ; ; 0,0
08-10-16 17:00; 0,0; 49; 22; 18; 0,00; 5; 0,0
08-10-16 17:30; ; ; ; ; ; ; 0,0
08-10-16 18:00; 0,0; 39; 21; 12; 0,00; 5; 0,0
08-10-16 18:30; ; ; ; ; ; ; 0,0
08-10-16 19:00; 0,0; 33; 20; 15; 0,00; 7; 0,0
08-10-16 19:30; ; ; ; ; ; ; 0,0
08-10-16 20:00; 0,0; 20; 18; 27; 0,00; 5; 0,0
08-10-16 20:30; ; ; ; ; ; ; 0,0
08-10-16 21:00; 0,0; 27; 15; 27; 0,00; 4; 0,0
08-10-16 21:30; ; ; ; ; ; ; 0,0
08-10-16 22:00; 0,0; 24; 14; 21; 0,00; 5; 0,0
08-10-16 22:30; ; ; ; ; ; ; 0,0
08-10-16 23:00; 0,0; 14; 10; 21; 0,00; 7; 0,0
08-10-16 23:30; ; ; ; ; ; ; 0,0
09-10-16 00:00; 0,0; 19; 11; 22; 0,00; 9; 0,0
09-10-16 00:30; ; ; ; ; ; ; 0,0
09-10-16 01:00; 0,0; 7; 7; 21; 0,00; 7; 0,0
09-10-16 01:30; ; ; ; ; ; ; 0,0
09-10-16 02:00; 0,0; 5; 7; 24; 0,00; 6; 0,0
09-10-16 02:30; ; ; ; ; ; ; 0,0
09-10-16 03:00; 0,0; 10; 8; 28; 0,00; 7; 0,0
09-10-16 03:30; ; ; ; ; ; ; 0,0
09-10-16 04:00; 0,0; 4; 7; 33; 0,00; 8; 0,0
09-10-16 04:30; ; ; ; ; ; ; 0,0
09-10-16 05:00; 0,0; 5; 6; 32; 0,00; 8; 0,0
09-10-16 05:30; ; ; ; ; ; ; 0,0
09-10-16 06:00; 0,0; 5; 8; 33; 0,00; 8; 0,0
09-10-16 06:30; ; ; ; ; ; ; 0,0
09-10-16 07:00; 0,0; 8; 7; 32; 0,00; 10; 0,0
09-10-16 07:30; ; ; ; ; ; ; 0,0
09-10-16 08:00; 0,0; 15; 7; 32; 0,00; 13; 0,0
09-10-16 08:30; ; ; ; ; ; ; 0,0
09-10-16 09:00; 0,0; 14; 7; 32; 0,00; 11; 0,0
09-10-16 09:30; ; ; ; ; ; ; 0,0
09-10-16 10:00; 0,0; 25; 11; 33; 0,00; 8; 0,0
09-10-16 10:30; ; ; ; ; ; ; 0,0
09-10-16 11:00; 0,0; 26; 11; 39; 0,00; 6; 0,0
09-10-16 11:30; ; ; ; ; ; ; 0,0
09-10-16 12:00; 0,0; 25; 10; 38; 0,00; 6; 0,0
09-10-16 12:30; ; ; ; ; ; ; 0,0
09-10-16 13:00; 0,0; 21; 10; 31; 0,00; 6; 0,0
09-10-16 13:30; ; ; ; ; ; ; 0,0
09-10-16 14:00; 0,0; 29; 12; 31; 0,00; 5; 0,0
09-10-16 14:30; ; ; ; ; ; ; 0,0
09-10-16 15:00; 0,0; 17; 9; 31; 0,00; 5; 0,0
09-10-16 15:30; ; ; ; ; ; ; 0,0
09-10-16 16:00; 0,0; 29; 14; 31; 0,00; 4; 0,0
09-10-16 16:30; ; ; ; ; ; ; 0,0
09-10-16 17:00; 0,0; 38; 18; 28; 0,00; 4; 0,0
09-10-16 17:30; ; ; ; ; ; ; 0,0
09-10-16 18:00; 0,0; 35; 18; 23; 0,00; 7; 0,0
09-10-16 18:30; ; ; ; ; ; ; 0,0
09-10-16 19:00; 0,0; 23; 13; 18; 0,00; 9; 0,0
09-10-16 19:30; ; ; ; ; ; ; 0,0
09-10-16 20:00; 0,0; 17; 12; 13; 0,00; 6; 0,0
09-10-16 20:30; ; ; ; ; ; ; 0,0
09-10-16 21:00; 0,0; 10; 10; 11; 0,00; 10; 0,0
09-10-16 21:30; ; ; ; ; ; ; 0,0
